Student ID,student_name,gender,grade,school_name,reading_score,math_score
93,Isaiah Maldonado,M,10th,Huang High School,96,99
94,Micheal Dennis,M,12th,Huang High School,96,99
95,Kevin Martinez,M,11th,Huang High School,96,99
96,Jessica Smith,F,9th,Huang High School,96,99
97,Dawn Trujillo,F,11th,Huang High School,96,99
98,Virginia Ramirez MD,F,10th,Huang High School,96,99
99,Marc Hernandez,M,10th,Huang High School,96,99
100,Jose Gonzalez,M,12th,Huang High School,96,99
101,Jason Dennis,M,10th,Huang High School,96,99
102,Gary Morris,M,11th,Huang High School,96,99
103,William Mcdonald,M,12th,Huang High School,96,99
104,Michael Savage,M,9th,Huang High School,96,99
105,Alexis Todd,F,11th,Huang High School,96,99
106,David Hansen,M,10th,Huang High School,96,99
107,Steven Mendez,M,12th,Huang High School,96,99
108,Ryan Lynch,M,12th,Huang High School,96,99
109,Timothy Marks,M,9th,Huang High School,95,99
110,Alexander Johns,M,10th,Huang High School,95,99
111,Kenneth Chavez,M,9th,Huang High School,95,99
112,Dennis Williams,M,10th,Huang High School,95,99
113,Michael Roy,M,12th,Huang High School,95,99
114,Richard Ryan,M,12th,Huang High School,95,99
115,Matthew Reyes,M,12th,Huang High School,95,99
116,Stephanie Ward,F,11th,Huang High School,95,99
117,Christopher Tucker,M,10th,Huang High School,95,99
118,Daniel Jones,M,12th,Huang High School,95,99
119,Devin Craig,M,10th,Huang High School,95,99
120,Erin Prince,F,12th,Huang High School,95,99
121,Bernard Ortiz,M,11th,Huang High School,95,99
122,Nicole Miller,F,10th,Huang High School,95,99
123,Christopher Fritz,M,9th,Huang High School,95,99
124,Bonnie Mckinney,F,11th,Huang High School,95,99
125,Troy Nelson,M,11th,Huang High School,95,99
126,Jennifer Lee,F,12th,Huang High School,95,99
127,Ronald Ward,M,10th,Huang High School,95,99
128,Nathaniel Hampton,M,11th,Huang High School,95,99
129,Michael Travis,M,11th,Huang High School,95,99
130,James Taylor,M,9th,Huang High School,95,99
131,Thomas Strickland,M,9th,Huang High School,95,99
132,Brittany Jackson,F,9th,Huang High School,95,99
133,Marisa Lowe,F,9th,Huang High School,95,99
134,Nicole Thomas,F,9th,Huang High School,95,99
135,Matthew Rodriguez,M,12th,Huang High School,95,99
136,Kent Fernandez,M,12th,Huang High School,95,99
137,Michelle Martin,F,12th,Huang High School,95,99
138,John Sparks,M,9th,Huang High School,95,99
139,Ann Blake,F,11th,Huang High School,95,99
140,Melissa Miller,F,12th,Huang High School,95,99
141,Steven Houston,M,9th,Huang High School,95,99
142,Kristen Anderson,F,11th,Huang High School,94,99
143,Cory Jones,M,11th,Huang High School,94,99
144,Jennifer Mora,F,10th,Huang High School,94,99
145,Dennis Griffin,M,9th,Huang High School,94,99
146,Darryl Brown,M,10th,Huang High School,94,99
147,Martin Mosley,M,10th,Huang High School,94,99
148,Joyce Diaz,F,10th,Huang High School,94,99
149,Jeffrey Rose,M,12th,Huang High School,94,99
150,Jamie Moreno,F,9th,Huang High School,94,99
151,Catherine Williams,F,9th,Huang High School,94,99
152,Lauren Byrd,F,11th,Huang High School,94,99
153,Vanessa Frazier,F,10th,Huang High School,94,99
154,Stephen Bryant,M,11th,Huang High School,94,99
155,Lawrence Liu,M,12th,Huang High School,94,99
156,Joseph Larsen,M,9th,Huang High School,94,99
157,Susan Collier,F,11th,Huang High School,94,99
158,Meagan Jensen,F,9th,Huang High School,94,99
159,Julie Harper,F,12th,Huang High School,94,99
160,Meghan Carroll,F,12th,Huang High School,94,99
161,Wanda Horton,F,11th,Huang High School,94,99
162,Mary Campbell,F,10th,Huang High School,94,99
163,Jennifer Rodgers,F,11th,Huang High School,94,99
164,Heather Cooper,F,12th,Huang High School,94,99
165,Ryan Perez,M,11th,Huang High School,94,99
166,Ryan Cox,M,12th,Huang High School,94,99
167,Darren Zavala,M,10th,Huang High School,94,99
168,Joseph Morales III,M,10th,Huang High School,94,99
169,Aaron West,M,10th,Huang High School,94,99
170,James Combs,M,10th,Huang High School,94,99
171,Curtis Garner,M,10th,Huang High School,94,99
172,Sarah Miller,F,10th,Huang High School,94,99
173,Samantha Thomas,F,10th,Huang High School,94,99
174,Robert Atkins,M,9th,Huang High School,94,99
175,Alexis Crawford,M,10th,Huang High School,94,99
176,Ryan Maddox,M,11th,Huang High School,93,99
177,Jonathan Meyer,M,9th,Huang High School,93,99
178,Donna Wagner,F,10th,Huang High School,93,99
179,William Kennedy,M,11th,Huang High School,93,99
180,Kimberly Martinez,F,11th,Huang High School,93,99
181,Matthew Anderson,M,11th,Huang High School,93,99
182,Kari Miller,F,9th,Huang High School,93,99
183,Jenna Luna,F,9th,Huang High School,93,99
184,Justin Contreras,M,12th,Huang High School,93,99
185,Mary Fox,F,11th,Huang High School,93,99
186,Joseph Perkins,M,10th,Huang High School,93,99
187,Kelly Phillips,F,12th,Huang High School,93,99
188,Justin Thornton,M,11th,Huang High School,93,99
189,Joshua Barber,M,10th,Huang High School,93,99
190,Travis Jackson,M,11th,Huang High School,93,99
191,Jordan Beasley,F,10th,Huang High School,93,99
192,Kevin Allen,M,12th,Huang High School,93,99
193,Victoria Harris,F,11th,Huang High School,93,99
194,Victoria Joseph,F,12th,Huang High School,93,99
195,Brandy Marshall,F,11th,Huang High School,93,99
196,Ryan Jimenez,M,11th,Huang High School,93,99
197,Michael Chan,M,9th,Huang High School,93,99
198,Christopher Phillips,M,9th,Huang High School,93,99
199,Kevin Murphy,M,10th,Huang High School,93,99
200,Vanessa Harper,F,12th,Huang High School,93,99
201,James Ferguson,M,9th,Huang High School,93,99
202,Carol Schroeder,F,12th,Huang High School,93,99
203,Jerry Phillips,M,10th,Huang High School,92,99
204,Kristin Wade,F,9th,Huang High School,92,99
205,Jessica Warner,F,11th,Huang High School,92,99
206,Dorothy Burke,F,11th,Huang High School,92,99
207,Bethany Walter,F,9th,Huang High School,92,99
208,Melissa Avery,F,9th,Huang High School,92,99
209,Daniel Sutton,M,11th,Huang High School,92,99
210,Ryan Johnson,M,9th,Huang High School,92,99
211,Timothy Quinn,M,10th,Huang High School,92,99
212,Zachary Allen,M,10th,Huang High School,92,99
213,Lauren Schmitt,F,12th,Huang High School,92,99
214,Stephanie Armstrong,F,11th,Huang High School,92,99
215,Ruben Rivera,M,9th,Huang High School,92,99
216,Patricia Petty,F,12th,Huang High School,92,99
217,Joseph Jacobs,M,11th,Huang High School,92,99
218,Bianca Wilson,F,11th,Huang High School,92,99
219,Donald Perez,M,9th,Huang High School,92,99
220,Curtis Gomez,M,9th,Huang High School,92,99
221,Courtney Brown,F,9th,Huang High School,92,99
222,Nicole Randall,F,9th,Huang High School,92,99
223,Steven Lambert,M,11th,Huang High School,92,99
224,Anthony Alvarez,M,10th,Huang High School,92,99
225,Shawn Farrell,M,10th,Huang High School,92,99
226,Jesus Schmidt,M,9th,Huang High School,92,99
227,Laura Wright,F,12th,Huang High School,91,99
228,Steven Smith,M,11th,Huang High School,91,99
229,Norman Thompson,M,9th,Huang High School,91,99
230,Anthony Wright,M,10th,Huang High School,91,99
231,Kayla Watts,F,11th,Huang High School,91,99
232,Aimee Johnson,F,9th,Huang High School,91,99
233,Heidi Scott,F,12th,Huang High School,91,99
234,Anthony Williams,M,10th,Huang High School,91,99
235,Sarah Hill,F,12th,Huang High School,91,99
236,Kim Wang,F,9th,Huang High School,91,99
237,Beth Manning,F,11th,Huang High School,91,99
238,Ryan Hanson,M,12th,Huang High School,91,99
239,James Wood,M,9th,Huang High School,91,99
240,Corey Greene,M,10th,Huang High School,91,99
241,John Carter,M,11th,Huang High School,91,99
242,Beth Garza,F,11th,Huang High School,91,99
243,Karen Jones,F,9th,Huang High School,91,99
244,Stephanie Poole,F,10th,Huang High School,91,99
245,Lisa Brown,F,9th,Huang High School,91,99
246,Paul Scott,M,10th,Huang High School,91,99
247,Evelyn Buck,F,10th,Huang High School,91,99
248,Terry Harrell,M,9th,Huang High School,91,99
249,Leah Skinner,F,11th,Huang High School,91,99
250,Anthony Mercado,M,11th,Huang High School,91,99
251,Walter Kelly,M,9th,Huang High School,91,99
252,Lori Evans,F,10th,Huang High School,91,99
253,Ashley Jones,F,12th,Huang High School,91,99
254,Amber Soto,F,9th,Huang High School,90,99
255,Patrick Phillips,M,10th,Huang High School,90,99
256,Linda Curry,F,11th,Huang High School,90,99
257,Alexander Obrien,M,10th,Huang High School,90,99
258,Vincent Garza,M,10th,Huang High School,90,99
259,Terry Marsh,M,11th,Huang High School,90,99
260,Angela Perkins DVM,F,11th,Huang High School,90,99
261,Peter Hampton,M,9th,Huang High School,90,99
262,David Cross,M,11th,Huang High School,90,99
263,Clinton Ortega,M,10th,Huang High School,90,99
264,Jamie Escobar,F,10th,Huang High School,90,99
265,Sandra Mason,F,12th,Huang High School,90,99
266,Craig Cole,M,12th,Huang High School,90,99
267,Lisa Warren,F,12th,Huang High School,90,99
268,Maria Howard,F,9th,Huang High School,90,99
269,Michael Porter,M,11th,Huang High School,90,99
270,John Turner,M,11th,Huang High School,90,99
271,Timothy Wang,M,12th,Huang High School,90,99
272,Amanda Taylor,F,9th,Huang High School,90,99
273,Karen Mckenzie,F,9th,Huang High School,90,99
274,Brandon Miles,M,11th,Huang High School,90,99
275,Christina Whitaker,F,12th,Huang High School,90,99
276,Nicole Peterson,F,9th,Huang High School,90,99
277,Ashley Moore,F,9th,Huang High School,90,99
278,Todd Carrillo,M,10th,Huang High School,90,99
279,Robert Williams,M,10th,Huang High School,90,99
280,Ashley Jones,F,9th,Huang High School,90,99
281,Vanessa Parker,F,9th,Huang High School,89,99
282,Robert Carlson,M,12th,Huang High School,89,99
283,Jared Lewis,M,10th,Huang High School,89,99
284,Christopher Hernandez,M,10th,Huang High School,89,99
285,Kimberly Harris,F,9th,Huang High School,89,99
286,Katrina Hill,F,10th,Huang High School,89,99
287,Heather Lee,F,9th,Huang High School,89,99
288,Donald Harmon,M,11th,Huang High School,89,99
289,Elizabeth Sanders,F,10th,Huang High School,89,99
290,Richard Ramsey,M,12th,Huang High School,89,99
291,Carmen Johnson,F,12th,Huang High School,89,99
292,Elaine Osborne,F,10th,Huang High School,89,99
293,Kent Burns,M,9th,Huang High School,89,99
294,Meagan Smith,F,11th,Huang High School,89,99
295,Craig Hahn,M,9th,Huang High School,89,99
296,Jeremy Wu,M,11th,Huang High School,89,99
297,Aaron Rodriguez,M,11th,Huang High School,89,99
298,Matthew Taylor,M,10th,Huang High School,89,99
299,Diana Evans,F,11th,Huang High School,89,99
300,Michele Pearson,F,12th,Huang High School,89,99
301,Erik Wagner,M,12th,Huang High School,89,99
302,Maria Welch,F,12th,Huang High School,89,99
303,Debra Martin,F,12th,Huang High School,89,99
304,Devon Conner,M,9th,Huang High School,89,99
305,Christine Patel,F,9th,Huang High School,89,99
306,David Lopez,M,9th,Huang High School,89,99
307,Nathan Baird,M,11th,Huang High School,89,99
308,Samuel Castillo,M,11th,Huang High School,89,99
309,Rebecca Payne,F,11th,Huang High School,89,99
310,Carl Johnson,M,10th,Huang High School,89,99
311,William Adams,M,12th,Huang High School,89,99
312,Paula Harrison,F,11th,Huang High School,89,99
313,Wayne Atkinson,M,11th,Huang High School,88,99
314,Lindsay Frank,F,9th,Huang High School,88,99
315,Jose Garcia,M,10th,Huang High School,88,99
316,Andrew Gaines,M,12th,Huang High School,88,99
317,Rachael Liu,F,10th,Huang High School,88,99
318,Donald Lewis,M,11th,Huang High School,88,99
319,Shane Edwards,M,9th,Huang High School,88,99
320,Todd Levy,M,12th,Huang High School,88,99
321,Joanna Moore,F,10th,Huang High School,88,99
322,Michael Lewis,M,9th,Huang High School,88,99
323,James Robinson,M,9th,Huang High School,88,99
324,Jeffrey Arellano,M,9th,Huang High School,88,99
325,Heather Allen MD,F,11th,Huang High School,88,99
326,Lori Villarreal,F,9th,Huang High School,88,99
327,Robert Harper,M,12th,Huang High School,88,99
328,Karen Villegas,F,9th,Huang High School,88,99
329,Tracey Crane,F,9th,Huang High School,88,99
330,Elizabeth Allen,F,9th,Huang High School,88,99
331,Jorge Lynn,M,11th,Huang High School,88,99
332,Harold Gordon,M,11th,Huang High School,88,99
333,Nicholas Mcclain,M,9th,Huang High School,88,99
334,Tanya Harris,F,11th,Huang High School,88,99
335,Amy Smith,F,12th,Huang High School,88,99
336,Kathy Morse,F,11th,Huang High School,88,99
337,Andrea Wood,F,10th,Huang High School,88,99
338,Maureen Massey,F,9th,Huang High School,88,99
339,Daniel Smith,M,11th,Huang High School,88,99
340,Alexandra Smith,F,11th,Huang High School,88,99
341,Caitlin Hall,F,11th,Huang High School,88,99
342,Jose Carlson,M,11th,Huang High School,88,99
343,Deborah Macias,F,9th,Huang High School,88,99
344,Dwayne Rice,M,11th,Huang High School,88,99
345,Matthew Harris,M,10th,Huang High School,88,99
346,Eric Bowman,M,9th,Huang High School,88,99
347,Samuel Ali,M,9th,Huang High School,88,99
348,David Miller,M,12th,Huang High School,88,99
349,James Moreno,M,11th,Huang High School,87,99
350,Brooke Austin,F,11th,Huang High School,87,99
351,Alisha Martin,F,10th,Huang High School,87,99
352,Neil Rodriguez,M,10th,Huang High School,87,99
353,Gary Williams,M,10th,Huang High School,87,99
354,Michael Pittman,M,12th,Huang High School,87,99
355,Stephanie Palmer,F,10th,Huang High School,87,99
356,Christine Perry,F,11th,Huang High School,87,99
357,Suzanne David,F,10th,Huang High School,87,99
358,Amber Smith,F,12th,Huang High School,87,99
359,Ryan Jones,M,9th,Huang High School,87,99
360,Emily Ford,F,9th,Huang High School,87,99
361,Kelsey Shea,F,12th,Huang High School,87,99
362,Katherine Wallace,F,12th,Huang High School,87,99
363,Erica Conway,F,11th,Huang High School,87,99
364,Tyler Parker,M,11th,Huang High School,87,99
365,Michael Parks,M,9th,Huang High School,87,99
366,Elizabeth Hunt,F,12th,Huang High School,87,99
367,Grant Jackson,M,11th,Huang High School,87,99
368,Daniel Matthews,M,9th,Huang High School,87,99
369,Diana Silva,F,9th,Huang High School,87,99
370,Frank Garza,M,11th,Huang High School,87,99
371,Terri Fischer,F,10th,Huang High School,87,99
372,Robert Goodwin,M,12th,Huang High School,87,99
373,Bobby Ruiz,M,10th,Huang High School,87,99
374,Stephanie Taylor,F,12th,Huang High School,87,99
375,Erin Hill,F,10th,Huang High School,87,99
376,Erin Cohen,F,10th,Huang High School,87,99
377,Jeffrey Morris,M,9th,Huang High School,87,99
378,Elizabeth Simpson,F,10th,Huang High School,87,99
379,Jennifer Davis,F,11th,Huang High School,87,99
380,Rachel Burton,F,9th,Huang High School,87,99
381,Joseph Wilkins,M,9th,Huang High School,87,99
382,Lawrence Montgomery,M,11th,Huang High School,86,99
383,Patricia Howard,F,11th,Huang High School,86,99
384,Jessica Hanson,F,11th,Huang High School,86,99
385,Donna Dean,F,10th,Huang High School,86,99
386,Edwin Reid,M,9th,Huang High School,86,99
387,Jodi Brown,F,12th,Huang High School,86,99
388,Elizabeth Richard,F,9th,Huang High School,86,99
389,Aaron Martinez,M,9th,Huang High School,86,99
390,Stephen Fischer,M,9th,Huang High School,86,99
391,Diana Reeves,F,11th,Huang High School,86,99
392,Jeffrey Eaton,M,10th,Huang High School,86,99
393,Evelyn Miller,F,9th,Huang High School,86,99
394,Christopher Kidd,M,9th,Huang High School,86,99
395,Sarah Adams,F,9th,Huang High School,86,99
396,Melinda Nelson,F,12th,Huang High School,86,99
397,Kevin Brooks,M,11th,Huang High School,86,99
398,John Bowen,M,12th,Huang High School,86,99
399,Tracie Abbott,F,12th,Huang High School,86,99
400,Allen Foster,M,11th,Huang High School,86,99
401,Kathryn Elliott,F,12th,Huang High School,86,99
402,Christopher Walker,M,12th,Huang High School,86,99
403,Cynthia Martin,F,11th,Huang High School,86,99
404,Amanda Bennett,F,11th,Huang High School,86,99
405,Dennis Padilla,M,11th,Huang High School,86,99
406,Antonio Miller,M,11th,Huang High School,86,99
407,Melissa Trevino,F,11th,Huang High School,86,99
408,Andrew King,M,10th,Huang High School,86,99
409,John Martinez,M,11th,Huang High School,86,99
410,Lauren King,F,9th,Huang High School,85,99
411,Stephanie Mercado,F,9th,Huang High School,85,99
412,William Smith,M,11th,Huang High School,85,99
413,Jonathan Marshall,M,12th,Huang High School,85,99
414,Luke Lowery MD,M,10th,Huang High School,85,99
415,Emily Reynolds,F,9th,Huang High School,85,99
416,Kevin Mclean,M,9th,Huang High School,85,99
417,Elizabeth Taylor,F,11th,Huang High School,85,99
418,Pamela Rivas,F,11th,Huang High School,85,99
419,Tammy Martin,F,9th,Huang High School,85,99
420,Holly Watkins,F,9th,Huang High School,85,99
421,Patrick Chen,M,9th,Huang High School,85,99
422,Michelle Griffin,F,10th,Huang High School,85,99
423,Theresa Andrews,F,12th,Huang High School,85,99
424,Alan Henry,M,9th,Huang High School,85,99
425,Dr. Larry Hines,M,10th,Huang High School,85,99
426,Travis Frazier,M,12th,Huang High School,85,99
427,Julie Jones,F,12th,Huang High School,85,99
428,Natalie Reynolds,F,10th,Huang High School,85,99
429,Jessica Cohen,F,10th,Huang High School,85,99
430,Jason Robinson,M,12th,Huang High School,85,99
431,Heather Palmer,F,9th,Huang High School,85,99
432,Emily Cardenas MD,F,10th,Huang High School,85,99
433,Scott Glover,M,12th,Huang High School,85,99
434,Jacqueline White,F,12th,Huang High School,85,99
435,Mrs. Elizabeth Espinoza DDS,F,9th,Huang High School,85,99
436,Toni Porter,F,11th,Huang High School,85,99
437,Jennifer Mejia,F,11th,Huang High School,85,99
438,Brenda Peterson,F,10th,Huang High School,84,99
439,Paul Hamilton,M,9th,Huang High School,84,99
440,Patricia Nguyen,F,11th,Huang High School,84,99
441,James Ho,M,12th,Huang High School,84,99
442,Elizabeth Cohen,F,10th,Huang High School,84,99
443,Stephanie Lane,F,9th,Huang High School,84,99
444,Dawn Rhodes,F,12th,Huang High School,84,99
445,Theresa Robinson,F,10th,Huang High School,84,99
446,Breanna Mosley,F,9th,Huang High School,84,99
447,Carmen Wilson,F,10th,Huang High School,84,99
448,Ian Brown,M,9th,Huang High School,84,99
449,Kathleen Matthews,F,11th,Huang High School,84,99
450,Bryan Diaz,M,11th,Huang High School,84,99
451,Gina Sweeney,F,11th,Huang High School,84,99
452,Alan Garcia,M,10th,Huang High School,84,99
453,Erik Wheeler,M,10th,Huang High School,84,99
454,Stephanie Robles,F,9th,Huang High School,84,99
455,Samantha Hanson,F,9th,Huang High School,84,99
456,Christopher Williams,M,11th,Huang High School,84,99
457,Stephanie Hart,F,12th,Huang High School,84,99
458,Mrs. Lisa Becker,F,11th,Huang High School,84,99
459,Bianca Johnson,F,9th,Huang High School,83,99
460,Amy Steele,F,12th,Huang High School,83,99
461,Gina Contreras,F,9th,Huang High School,83,99
462,Jaime Alexander,F,10th,Huang High School,83,99
463,Kevin Coleman,M,12th,Huang High School,83,99
464,Caitlin Williams,F,10th,Huang High School,83,99
465,Joseph Lloyd,M,9th,Huang High School,83,99
466,Carrie Hernandez,F,11th,Huang High School,83,99
467,Mr. Travis Young,M,10th,Huang High School,83,99
468,Francis Wright,M,12th,Huang High School,83,99
469,Joel Harper,M,9th,Huang High School,83,99
470,Eduardo Park,M,9th,Huang High School,83,99
471,Melissa Yoder,F,10th,Huang High School,83,99
472,Donna Campbell,F,9th,Huang High School,83,99
473,Connie Delacruz,F,9th,Huang High School,83,99
474,Luis Parker,M,9th,Huang High School,83,99
475,Pamela Watts,F,11th,Huang High School,83,99
476,Lindsey Mitchell,F,10th,Huang High School,83,99
477,Brenda Price,F,10th,Huang High School,83,99
478,Joseph Howard,M,10th,Huang High School,83,99
479,Amy Evans,F,10th,Huang High School,83,99
480,Paula Fernandez DVM,F,9th,Huang High School,83,99
481,Amber Cunningham,F,11th,Huang High School,83,99
482,Preston Wheeler,M,10th,Huang High School,83,99
483,James Lopez,M,9th,Huang High School,83,99
484,Chad Drake,M,11th,Huang High School,83,99
485,Samuel Blackburn,M,11th,Huang High School,83,99
486,Shawn Nielsen,M,9th,Huang High School,83,99
487,Eric Perez,M,10th,Huang High School,83,99
488,Kevin Montgomery,M,12th,Huang High School,83,99
489,Terry Thomas,M,9th,Huang High School,83,99
490,Kim Meyer,F,9th,Huang High School,82,99
491,Michael Townsend,M,10th,Huang High School,82,99
492,Ronnie Rodriguez,M,10th,Huang High School,82,99
493,Savannah Smith,F,10th,Huang High School,82,99
494,Shane Nguyen,M,10th,Huang High School,82,99
495,Michael Brown,M,12th,Huang High School,82,99
496,Robert Young,M,9th,Huang High School,82,99
497,Daniel Griffin,M,9th,Huang High School,82,99
498,James Johnson,M,11th,Huang High School,82,99
499,Mary Cox,F,10th,Huang High School,82,99
500,Tina Aguirre,F,10th,Huang High School,82,99
501,Jillian Mcdonald,F,9th,Huang High School,82,99
502,Matthew Branch,M,10th,Huang High School,82,99
503,Christopher Jordan,M,11th,Huang High School,82,99
504,Victor Mcguire,M,11th,Huang High School,82,99
505,Erin Arnold,F,10th,Huang High School,82,99
506,Nicholas Wu,M,10th,Huang High School,82,99
507,Kristen Wilson,F,12th,Huang High School,81,99
508,Morgan Moore,F,10th,Huang High School,81,99
509,Stephen Smith,M,9th,Huang High School,81,99
510,Jeremy Romero,M,10th,Huang High School,81,99
511,Julie Bush,F,9th,Huang High School,81,99
512,Brittany Taylor,F,11th,Huang High School,81,99
513,James Kim,M,10th,Huang High School,81,99
514,Ashley Roberts,F,10th,Huang High School,81,99
515,Brandon Johnson,M,10th,Huang High School,81,99
516,David Davenport,M,12th,Huang High School,81,99
517,Mark Washington,M,9th,Huang High School,81,99
518,Alicia Marshall,F,9th,Huang High School,81,99
519,Barbara Santana,F,12th,Huang High School,81,99
520,Samantha Parker,F,10th,Huang High School,81,99
521,Joseph Walters,M,11th,Huang High School,81,99
522,Michael Zamora,M,11th,Huang High School,81,99
523,Kyle Cobb,M,11th,Huang High School,80,99
524,Jill Clark,F,10th,Huang High School,80,99
525,Sarah Warren,F,11th,Huang High School,80,99
526,Jennifer Robinson,F,10th,Huang High School,80,99
527,Patricia Johnson,F,11th,Huang High School,80,99
528,Henry Evans,M,10th,Huang High School,80,99
529,Alexander Ramsey,M,10th,Huang High School,80,99
530,Brandon Stephens,M,10th,Huang High School,80,99
531,Jeff Holland,M,9th,Huang High School,80,99
532,Samuel Schultz,M,10th,Huang High School,80,99
533,Brett Johnson,M,11th,Huang High School,80,99
534,Daniel Sherman,M,12th,Huang High School,80,99
535,Justin Mccall,M,11th,Huang High School,80,99
536,Jonathan Evans,M,9th,Huang High School,80,99
537,Jacqueline Kennedy,F,11th,Huang High School,80,99
538,Martin Stephenson,M,10th,Huang High School,80,99
539,Lindsey Lane,F,9th,Huang High School,80,99
540,Jessica Hart,F,10th,Huang High School,80,99
541,Edward Lucas,M,10th,Huang High School,80,99
542,Lisa Osborne,F,9th,Huang High School,80,99
543,Hannah Black,F,9th,Huang High School,80,99
544,Alexander Paul,M,9th,Huang High School,80,99
545,Brenda Wong,F,12th,Huang High School,80,99
546,Thomas Delgado,M,12th,Huang High School,80,99
